74Se	34	74
78Kr	36	78
84Sr	38	84
92Mo	42	92
94Mo	42	94
96Ru	44	96
98Ru	44	98
102Pd	46	102
106Cd	48	106
108Cd	48	108
112Sn	50	112
113In	49	113
114Sn	50	114
115Sn	50	115
120Te	52	120
124Xe	54	124
126Xe	54	126
130Ba	56	130
132Ba	56	132
136Ce	58	136
138La	57	138
138Ce	58	138
144Sm	62	144
152Gd	64	152
156Dy	66	156
158Dy	66	158
162Er	68	162
164Er	68	164
168Yb	70	168
174Hf	72	174
180Ta	73	180
180W	74	180
184Os	76	184
190Pt	78	190
196Hg	80	196
