74	4.15941	3.3865247841
78	1.36761	1.2708980651
84	0.343367	0.9969320151
92	0.0434424	0.0266355882
94	0.0358852	0.0267116899
96	0.0289842	0.0282337235
98	0.0942512	0.0616423612
102	0.324143	0.2381982601
106	0.374982	0.2359152097
108	0.30287	0.1301338737
113	0.485281	0.0981711679
112	0.127488	0.1750338652
114	0.295997	0.8142879818
115	0.0614228	0.0410949075
120	0.331029	0.2214558904
124	0.606931	0.3736592515
126	0.548487	0.4467168648
130	2.18289	1.1795760484
132	2.20718	1.7275081483
138	0.0793818	0.0554781251
136	0.627023	0.2960355373
138	0.47359	0.7686269735
144	1.11137	0.6499083518
152	0.162716	0.1415491258
156	0.150364	0.1514423443
158	0.263621	1.3469997456
162	0.326229	0.5266236294
164	0.304918	0.2830982516
168	1.94503	0.754928671
174	1.96606	1.5296437789
180	4.41168	1.2176268887
180	1.60539	1.963423358
184	2.24791	1.7351183164
190	0.196351	6.034863267
196	4.82023	6.0653039392
