9.0031e-04
1.1743e-04
1.1477e+00
8.0556e+04
    1    2    6.292590e-25   -2.388833e-29
    4    8    7.329618e-26    2.262771e-26
    5   11    1.510070e-25    4.662496e-26
    6   11    2.912247e-19    6.182668e-20
    6   12    7.736613e-04   -1.692044e-13
    6   13    8.412298e-14    1.091701e-14
    6   14    1.489619e-22    3.616987e-23
    7   13    2.284636e-14    2.418644e-15
    7   14    8.725481e-18    1.853918e-18
    7   15    9.097650e-22    2.204661e-22
    8   14    1.368161e-12    1.452227e-13
    8   15    8.222790e-23    1.745796e-23
    8   16    4.583193e-02    8.187895e-16
    8   17    4.954444e-15    6.431188e-16
    8   18    6.972691e-16    9.051020e-17
    8   19    9.086253e-27    2.206218e-27
    9   17    6.702187e-17    2.089442e-20
    9   18    1.321343e-20    2.836950e-21
    9   19    2.889636e-23    5.851874e-24
    9   20    2.498379e-30    6.073697e-31
   10   18    3.049991e-26    5.927591e-27
   10   20    8.353541e-03   -8.351254e-13
   10   21    3.015562e-05   -2.628436e-12
   10   22    3.692472e-06   -2.961765e-13
   10   23    9.969643e-17    1.294123e-17
   10   24    3.295314e-28    8.001351e-29
   11   21    2.344640e-13    2.584226e-14
   11   22    1.369289e-15    1.509419e-16
   11   23    1.457139e-04   -1.020839e-12
   11   24    1.788816e-13    2.322018e-14
   11   25    9.256135e-23    2.145479e-23
   12   23    9.242197e-20    1.205496e-20
   12   24    2.013354e-03    1.288651e-12
   12   25    4.441883e-04    9.732639e-14
   12   26    2.597257e-04    3.134136e-11
   12   27    1.161672e-14    1.507938e-15
   12   28    5.221316e-24    1.267792e-24
   13   25    8.157350e-15    8.991126e-16
   13   26    1.408287e-04   -3.392049e-11
   13   27    2.011964e-04   -2.033882e-14
   13   28    4.529729e-13    5.882060e-14
   13   29    2.525012e-21    3.861475e-22
   14   26    3.091296e-27    6.483359e-28
   14   27    3.087434e-11    3.403097e-12
   14   28    2.358143e-04    2.093011e-12
   14   29    6.520006e-05    2.883935e-13
   14   30    2.844539e-05    2.577786e-13
   14   31    9.518525e-14    1.235576e-14
   14   32    4.427648e-23    1.075081e-23
