34 74 6.41778e-06 1.0295e-09 13.8621
36 78 1.36469e-06 3.0187e-10 10.0528
38 84 3.84586e-07 2.8047e-10 3.04916
42 92 4.18975e-08 8.79656e-10 0.105913
42 94 2.52787e-08 5.61142e-10 0.100174
44 96 1.72758e-10 2.50116e-10 0.00153592
44 98 9.24761e-10 8.67616e-11 0.0237015
46 102 1.01333e-09 3.2251e-11 0.0698685
48 106 4.41711e-10 5.04077e-11 0.0194856
48 108 1.28113e-09 3.71532e-11 0.076678
49 113 7.6948e-10 2.28666e-11 0.0748287
50 112 3.13638e-09 1.00573e-10 0.0693461
50 114 4.0209e-09 7.03603e-11 0.127077
50 115 4.60735e-10 3.78159e-11 0.0270925
52 120 4.91989e-10 1.76053e-11 0.0621421
54 124 3.18953e-09 2.32106e-11 0.305572
54 126 1.77457e-09 2.1354e-11 0.184794
56 130 5.58821e-09 1.59484e-11 0.779162
56 132 5.07186e-09 1.55594e-11 0.724847
57 138 8.95079e-12 1.18684e-12 0.0167704
58 136 8.10442e-10 7.91225e-12 0.227769
58 138 1.17934e-09 1.04721e-11 0.250425
62 144 4.17793e-09 2.70271e-11 0.343744
64 152 6.1483e-11 3.22965e-12 0.0423323
66 156 6.02059e-11 7.61579e-13 0.175791
66 158 4.04076e-10 1.33486e-12 0.673129
68 162 3.48727e-10 1.2826e-12 0.604597
68 164 9.68335e-10 1.48926e-11 0.144586
70 168 5.67063e-10 1.14738e-12 1.099
72 174 2.49958e-10 1.36441e-12 0.407375
73 180 3.83666e-13 1.12006e-14 0.0761702
74 180 1.65467e-10 1.844e-12 0.199537
76 184 2.98511e-11 5.77129e-13 0.115017
78 190 3.45481e-10 8.6028e-13 0.89301
80 196 9.96781e-12 1.53692e-12 0.0144219
